Event Action	Total Events	Unique Events	Event Value	Avg. Value
http://dbpedia.org/resource/Sky_News	22	11	"1,524,505,562,046,283,776"	"69,295,707,365,740,168.00"
http://dbpedia.org/resource/Spain	22	15	"1,640,967,739,744,698,368"	"74,589,442,715,668,112.00"
http://dbpedia.org/resource/Terrassa	22	13	"871,662,756,721,524,736"	"39,621,034,396,432,944.00"
http://dbpedia.org/resource/Alberto_Aquilani	21	1	"45,097,156,587"	"2,147,483,647.00"
http://dbpedia.org/resource/Association_football	21	16	"1,804,864,491,966,431,232"	"85,945,928,188,877,680.00"
http://dbpedia.org/resource/Email_marketing	21	7	"94,401,557,260,537,840"	"4,495,312,250,501,802.00"
http://dbpedia.org/resource/Iraq	21	17	"1,179,849,341,390,893,056"	"56,183,301,970,994,904.00"
http://dbpedia.org/resource/JavaScript	21	19	"879,266,899,933,855,744"	"41,869,852,377,802,656.00"
http://dbpedia.org/resource/José_Luis_Rodríguez_Zapatero	21	13	"871,718,076,412,035,072"	"41,510,384,591,049,288.00"
http://dbpedia.org/resource/Margaret_Thatcher	21	1	"45,097,156,587"	"2,147,483,647.00"
http://dbpedia.org/resource/Somalia	21	17	"1,650,063,414,231,568,384"	"78,574,448,296,741,344.00"
http://dbpedia.org/resource/SPARQL	21	15	"464,744,455,858,581,504"	"22,130,688,374,218,168.00"
http://dbpedia.org/resource/Web_design	21	18	"653,523,545,049,845,760"	"31,120,168,811,897,416.00"
