# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/miemalz	97	93	00:07:46	0.00%	11.34%
/users/ketiv1	96	56	00:07:46	0.00%	17.71%
/users/joel.j.morin	96	73	00:16:25	0.00%	53.12%
/users/SIMPLEMENTESOOLE	95	79	00:10:04	0.00%	43.16%
/users/eduardojav	94	78	00:10:30	0.00%	12.77%
/users/HabibAlkol.Lovesyou	93	61	00:01:56	0.00%	3.23%
/users/ody.jaya	93	84	00:05:37	0.00%	41.94%
/users/100000424452838	93	57	00:09:14	0.00%	21.51%
/users/chivva.gian	92	79	00:07:00	0.00%	15.22%
/users/xavier.corchadonbf	92	49	00:03:36	0.00%	26.09%
/users/AbdelRahman.Tekriti	91	76	00:01:17	0.00%	5.49%
/users/martin.assmann	91	62	00:06:02	0.00%	16.48%
/users/100001573814767	91	90	00:00:55	0.00%	0.00%
/users/allybdAknerd	91	68	00:04:04	0.00%	5.49%
/users/deity.ngo	90	45	00:03:05	0.00%	15.56%
/users/100000630537597	90	83	00:08:33	0.00%	34.44%
/users/100000953350446	90	63	00:09:40	0.00%	5.56%
/users/100001589056143	89	83	00:00:41	0.00%	0.00%
/users/100000741073593	88	66	00:09:25	0.00%	36.36%
/users/1595754060	88	74	00:03:23	0.00%	28.41%
/users/kadir.akyar	87	63	00:07:11	0.00%	16.09%
/users/100000697628903	87	64	00:02:44	0.00%	2.30%
/users/100001229817259	87	79	00:01:27	0.00%	35.63%
/users/100002110583796	87	57	00:07:06	0.00%	13.79%
/users/100002458898365	87	59	00:02:18	0.00%	5.75%
/users/geoffpay	86	60	00:06:50	0.00%	56.98%
/users/akmal.Rnb	85	65	00:04:34	0.00%	10.59%
/users/ben.blackford	84	64	00:03:15	0.00%	33.33%
/users/100002898672966	84	83	00:00:36	0.00%	0.00%
/users/jozsa.martin	84	48	00:09:56	0.00%	28.57%
/users/100001629167361	83	82	00:00:50	0.00%	1.20%
/users/100002134691099	83	63	00:04:54	0.00%	9.64%
/users/zzzzmustafa	83	74	00:02:03	0.00%	6.02%
